Pair,Delta (mHz)
1.599684-1.274282,0.325402
1.603209-1.274282,0.328928
1.603944-1.274282,0.329662
1.611143-1.274282,0.336861
1.613346-1.274282,0.339064
1.623630-1.274282,0.349348
1.630681-1.274282,0.356399
1.631269-1.274282,0.356987
1.631857-1.274282,0.357575
1.632885-1.274282,0.358603
1.633472-1.274282,0.359191
1.634648-1.274282,0.360366
1.636411-1.274282,0.362129
1.636851-1.274282,0.362569
1.637145-1.274282,0.362863
1.637586-1.274282,0.363304
1.638467-1.274282,0.364185
1.640818-1.274282,0.366536
1.652717-1.274282,0.378436
1.664764-1.274282,0.390482
1.667261-1.274282,0.392980
1.672550-1.274282,0.398268
1.672991-1.274282,0.398709
1.673285-1.274282,0.399003
1.673725-1.274282,0.399443
1.674313-1.274282,0.400031
1.674754-1.274282,0.400472
1.675048-1.274282,0.400766
1.677251-1.274282,0.402969
1.678427-1.274282,0.404145
1.689738-1.274282,0.415456
1.694586-1.274282,0.420304
1.700610-1.274282,0.426328
1.707514-1.274282,0.433232
1.716770-1.274282,0.442488
1.717063-1.274282,0.442781
1.717504-1.274282,0.443222
1.717798-1.274282,0.443516
1.718385-1.274282,0.444104
1.720589-1.274282,0.446307
1.721617-1.274282,0.447336
1.722205-1.274282,0.447923
1.722646-1.274282,0.448364
1.724115-1.274282,0.449833
1.744829-1.274282,0.470547
1.751587-1.274282,0.477305
1.756729-1.274282,0.482447
1.757022-1.274282,0.482740
1.757463-1.274282,0.483181
1.757757-1.274282,0.483475
1.758051-1.274282,0.483769
1.758491-1.274282,0.484209
1.759079-1.274282,0.484797
1.759667-1.274282,0.485385
1.759961-1.274282,0.485679
1.760401-1.274282,0.486119
1.799626-1.274282,0.525344
1.800213-1.274282,0.525931
1.800654-1.274282,0.526372
1.800948-1.274282,0.526666
1.801389-1.274282,0.527107
1.801682-1.274282,0.527401
1.802123-1.274282,0.527841
1.802564-1.274282,0.528282
1.804180-1.274282,0.529898
1.804621-1.274282,0.530339
1.805208-1.274282,0.530926
1.805502-1.274282,0.531220
1.805796-1.274282,0.531514
1.806090-1.274282,0.531808
1.806530-1.274282,0.532248
1.809469-1.274282,0.535187
1.834296-1.274282,0.560014
1.838997-1.274282,0.564715
1.841641-1.274282,0.567360
1.842523-1.274282,0.568241
1.842964-1.274282,0.568682
1.843257-1.274282,0.568976
1.844139-1.274282,0.569857
1.845167-1.274282,0.570885
1.856773-1.274282,0.582491
1.885126-1.274282,0.610844
1.885420-1.274282,0.611138
1.885714-1.274282,0.611432
1.886008-1.274282,0.611726
1.887036-1.274282,0.612754
1.888946-1.274282,0.614664
1.889681-1.274282,0.615399
1.889974-1.274282,0.615692
1.890268-1.274282,0.615986
1.891003-1.274282,0.616721
1.921853-1.274282,0.647571
1.925526-1.274282,0.651244
1.927436-1.274282,0.653154
1.927877-1.274282,0.653595
1.928758-1.274282,0.654476
1.929052-1.274282,0.654770
1.938748-1.274282,0.664466
1.947269-1.274282,0.672987
1.969599-1.274282,0.695317
1.971949-1.274282,0.697667
1.972684-1.274282,0.698402
1.973859-1.274282,0.699577
1.974593-1.274282,0.700311
1.988403-1.274282,0.714121
1.988697-1.274282,0.714415
2.003828-1.274282,0.729546
2.011174-1.274282,0.736892
2.011614-1.274282,0.737332
2.012349-1.274282,0.738067
2.013230-1.274282,0.738948
2.015581-1.274282,0.741299
2.049663-1.274282,0.775382
2.056274-1.274282,0.781992
2.060388-1.274282,0.786106
2.061122-1.274282,0.786840
2.091239-1.274282,0.816957
2.095499-1.274282,0.821217
2.098584-1.274282,0.824302
2.103432-1.274282,0.829150
2.114009-1.274282,0.839727
2.136046-1.274282,0.861764
2.168806-1.274282,0.894524
2.173801-1.274282,0.899519
2.183644-1.274282,0.909362
2.208178-1.274282,0.933896
2.215964-1.274282,0.941682
2.225807-1.274282,0.951525
2.226541-1.274282,0.952259
2.277959-1.274282,1.003677
2.312923-1.274282,1.038641
2.316890-1.274282,1.042608
2.381089-1.274282,1.106807
2.416200-1.274282,1.141918
2.442496-1.274282,1.168214
2.447197-1.274282,1.172915
2.473934-1.274282,1.199653
2.494061-1.274282,1.219779
1.278395-1.277955,0.000441
1.285153-1.277955,0.007199
1.293380-1.277955,0.015425
1.294115-1.277955,0.016160
1.294555-1.277955,0.016601
1.295731-1.277955,0.017776
1.302341-1.277955,0.024387
1.302782-1.277955,0.024828
1.309834-1.277955,0.031879
1.311303-1.277955,0.033348
1.312037-1.277955,0.034083
1.319236-1.277955,0.041281
1.326875-1.277955,0.048920
1.328344-1.277955,0.050390
1.328638-1.277955,0.050683
1.335836-1.277955,0.057882
1.336424-1.277955,0.058469
1.338922-1.277955,0.060967
1.339362-1.277955,0.061408
1.340097-1.277955,0.062142
1.341860-1.277955,0.063905
1.349352-1.277955,0.071397
1.349793-1.277955,0.071838
1.354053-1.277955,0.076099
1.376236-1.277955,0.098282
1.377705-1.277955,0.099751
1.381672-1.277955,0.103717
1.385785-1.277955,0.107831
1.386226-1.277955,0.108271
1.386667-1.277955,0.108712
1.386961-1.277955,0.109006
1.388283-1.277955,0.110328
1.389605-1.277955,0.111650
1.400770-1.277955,0.122815
1.411200-1.277955,0.133246
1.415608-1.277955,0.137653
1.416783-1.277955,0.138828
1.421778-1.277955,0.143823
1.422659-1.277955,0.144705
1.423247-1.277955,0.145292
1.423541-1.277955,0.145586
1.442198-1.277955,0.164243
1.467907-1.277955,0.189952
1.468495-1.277955,0.190540
1.469523-1.277955,0.191568
1.476134-1.277955,0.198179
1.477897-1.277955,0.199942
1.483626-1.277955,0.205672
1.491853-1.277955,0.213898
1.493469-1.277955,0.215514
1.496848-1.277955,0.218893
1.499639-1.277955,0.221685
1.500961-1.277955,0.223007
1.504046-1.277955,0.226092
1.504487-1.277955,0.226533
1.504781-1.277955,0.226826
1.505369-1.277955,0.227414
1.510951-1.277955,0.232997
1.513449-1.277955,0.235494
1.543271-1.277955,0.265316
1.545915-1.277955,0.267961
1.547091-1.277955,0.269136
1.547972-1.277955,0.270017
1.548853-1.277955,0.270899
1.550029-1.277955,0.272074
1.550469-1.277955,0.272515
1.551645-1.277955,0.273690
1.552232-1.277955,0.274278
1.552526-1.277955,0.274572
1.553114-1.277955,0.275159
1.564866-1.277955,0.286912
1.577500-1.277955,0.299546
1.578235-1.277955,0.300280
1.588078-1.277955,0.310123
1.588959-1.277955,0.311005
1.589400-1.277955,0.311446
1.589841-1.277955,0.311886
1.590281-1.277955,0.312327
1.590575-1.277955,0.312621
1.592044-1.277955,0.314090
1.593660-1.277955,0.315706
1.599684-1.277955,0.321729
1.603209-1.277955,0.325255
1.603944-1.277955,0.325989
1.611143-1.277955,0.333188
1.613346-1.277955,0.335392
1.623630-1.277955,0.345675
1.630681-1.277955,0.352727
1.631269-1.277955,0.353314
1.631857-1.277955,0.353902
1.632885-1.277955,0.354930
1.633472-1.277955,0.355518
1.634648-1.277955,0.356693
1.636411-1.277955,0.358456
1.636851-1.277955,0.358897
1.637145-1.277955,0.359191
1.637586-1.277955,0.359631
1.638467-1.277955,0.360513
1.640818-1.277955,0.362863
1.652717-1.277955,0.374763
1.664764-1.277955,0.386809
1.667261-1.277955,0.389307
1.672550-1.277955,0.394595
1.672991-1.277955,0.395036
1.673285-1.277955,0.395330
1.673725-1.277955,0.395771
1.674313-1.277955,0.396358
1.674754-1.277955,0.396799
1.675048-1.277955,0.397093
1.677251-1.277955,0.399297
1.678427-1.277955,0.400472
1.689738-1.277955,0.411784
1.694586-1.277955,0.416632
1.700610-1.277955,0.422655
1.707514-1.277955,0.429560
1.716770-1.277955,0.438815
1.717063-1.277955,0.439109
1.717504-1.277955,0.439549
1.717798-1.277955,0.439843
1.718385-1.277955,0.440431
1.720589-1.277955,0.442635
1.721617-1.277955,0.443663
1.722205-1.277955,0.444250
1.722646-1.277955,0.444691
1.724115-1.277955,0.446160
1.744829-1.277955,0.466874
1.751587-1.277955,0.473632
1.756729-1.277955,0.478774
1.757022-1.277955,0.479068
1.757463-1.277955,0.479508
1.757757-1.277955,0.479802
1.758051-1.277955,0.480096
1.758491-1.277955,0.480537
1.759079-1.277955,0.481125
1.759667-1.277955,0.481712
1.759961-1.277955,0.482006
1.760401-1.277955,0.482447
1.799626-1.277955,0.521671
1.800213-1.277955,0.522259
1.800654-1.277955,0.522700
1.800948-1.277955,0.522993
1.801389-1.277955,0.523434
1.801682-1.277955,0.523728
1.802123-1.277955,0.524169
1.802564-1.277955,0.524609
1.804180-1.277955,0.526225
1.804621-1.277955,0.526666
1.805208-1.277955,0.527254
1.805502-1.277955,0.527548
1.805796-1.277955,0.527841
1.806090-1.277955,0.528135
1.806530-1.277955,0.528576
1.809469-1.277955,0.531514
1.834296-1.277955,0.556342
1.838997-1.277955,0.561043
1.841641-1.277955,0.563687
1.842523-1.277955,0.564568
1.842964-1.277955,0.565009
1.843257-1.277955,0.565303
1.844139-1.277955,0.566184
1.845167-1.277955,0.567213
1.856773-1.277955,0.578818
1.885126-1.277955,0.607172
1.885420-1.277955,0.607466
1.885714-1.277955,0.607759
1.886008-1.277955,0.608053
1.887036-1.277955,0.609082
1.888946-1.277955,0.610991
1.889681-1.277955,0.611726
1.889974-1.277955,0.612020
1.890268-1.277955,0.612314
1.891003-1.277955,0.613048
1.921853-1.277955,0.643899
1.925526-1.277955,0.647571
1.927436-1.277955,0.649481
1.927877-1.277955,0.649922
1.928758-1.277955,0.650804
1.929052-1.277955,0.651097
1.938748-1.277955,0.660793
1.947269-1.277955,0.669314
1.969599-1.277955,0.691644
1.971949-1.277955,0.693994
1.972684-1.277955,0.694729
1.973859-1.277955,0.695904
1.974593-1.277955,0.696639
1.988403-1.277955,0.710448
1.988697-1.277955,0.710742
2.003828-1.277955,0.725874
2.011174-1.277955,0.733219
2.011614-1.277955,0.733660
2.012349-1.277955,0.734394
2.013230-1.277955,0.735276
2.015581-1.277955,0.737626
2.049663-1.277955,0.771709
2.056274-1.277955,0.778320
2.060388-1.277955,0.782433
2.061122-1.277955,0.783168
2.091239-1.277955,0.813284
2.095499-1.277955,0.817544
2.098584-1.277955,0.820629
2.103432-1.277955,0.825477
2.114009-1.277955,0.836055
2.136046-1.277955,0.858091
2.168806-1.277955,0.890852
2.173801-1.277955,0.895846
2.183644-1.277955,0.905689
2.208178-1.277955,0.930223
2.215964-1.277955,0.938009
2.225807-1.277955,0.947852
2.226541-1.277955,0.948586
2.277959-1.277955,1.000004
2.312923-1.277955,1.034969
2.316890-1.277955,1.038935
2.381089-1.277955,1.103134
2.416200-1.277955,1.138245
2.442496-1.277955,1.164542
2.447197-1.277955,1.169243
2.473934-1.277955,1.195980
2.494061-1.277955,1.216106
1.285153-1.278395,0.006758
1.293380-1.278395,0.014985
1.294115-1.278395,0.015719
1.294555-1.278395,0.016160
1.295731-1.278395,0.017335
1.302341-1.278395,0.023946
1.302782-1.278395,0.024387
1.309834-1.278395,0.031438
1.311303-1.278395,0.032907
1.312037-1.278395,0.033642
1.319236-1.278395,0.040841
1.326875-1.278395,0.048480
1.328344-1.278395,0.049949
1.328638-1.278395,0.050243
1.335836-1.278395,0.057441
1.336424-1.278395,0.058029
1.338922-1.278395,0.060526
1.339362-1.278395,0.060967
1.340097-1.278395,0.061701
1.341860-1.278395,0.063464
1.349352-1.278395,0.070957
1.349793-1.278395,0.071397
1.354053-1.278395,0.075658
1.376236-1.278395,0.097841
1.377705-1.278395,0.099310
1.381672-1.278395,0.103276
1.385785-1.278395,0.107390
1.386226-1.278395,0.107831
1.386667-1.278395,0.108271
1.386961-1.278395,0.108565
1.388283-1.278395,0.109887
1.389605-1.278395,0.111210
1.400770-1.278395,0.122375
1.411200-1.278395,0.132805
1.415608-1.278395,0.137212
1.416783-1.278395,0.138388
1.421778-1.278395,0.143382
1.422659-1.278395,0.144264
1.423247-1.278395,0.144852
1.423541-1.278395,0.145145
1.442198-1.278395,0.163803
1.467907-1.278395,0.189512
1.468495-1.278395,0.190099
1.469523-1.278395,0.191128
1.476134-1.278395,0.197738
1.477897-1.278395,0.199501
1.483626-1.278395,0.205231
1.491853-1.278395,0.213458
1.493469-1.278395,0.215074
1.496848-1.278395,0.218453
1.499639-1.278395,0.221244
1.500961-1.278395,0.222566
1.504046-1.278395,0.225651
1.504487-1.278395,0.226092
1.504781-1.278395,0.226385
1.505369-1.278395,0.226973
1.510951-1.278395,0.232556
1.513449-1.278395,0.235053
1.543271-1.278395,0.264876
1.545915-1.278395,0.267520
1.547091-1.278395,0.268695
1.547972-1.278395,0.269577
1.548853-1.278395,0.270458
1.550029-1.278395,0.271633
1.550469-1.278395,0.272074
1.551645-1.278395,0.273249
1.552232-1.278395,0.273837
1.552526-1.278395,0.274131
1.553114-1.278395,0.274718
1.564866-1.278395,0.286471
1.577500-1.278395,0.299105
1.578235-1.278395,0.299840
1.588078-1.278395,0.309682
1.588959-1.278395,0.310564
1.589400-1.278395,0.311005
1.589841-1.278395,0.311445
1.590281-1.278395,0.311886
1.590575-1.278395,0.312180
1.592044-1.278395,0.313649
1.593660-1.278395,0.315265
1.599684-1.278395,0.321288
1.603209-1.278395,0.324814
1.603944-1.278395,0.325549
1.611143-1.278395,0.332747
1.613346-1.278395,0.334951
1.623630-1.278395,0.345234
1.630681-1.278395,0.352286
1.631269-1.278395,0.352874
1.631857-1.278395,0.353461
1.632885-1.278395,0.354489
1.633472-1.278395,0.355077
1.634648-1.278395,0.356252
1.636411-1.278395,0.358015
1.636851-1.278395,0.358456
1.637145-1.278395,0.358750
1.637586-1.278395,0.359191
1.638467-1.278395,0.360072
1.640818-1.278395,0.362423
1.652717-1.278395,0.374322
1.664764-1.278395,0.386369
1.667261-1.278395,0.388866
1.672550-1.278395,0.394155
1.672991-1.278395,0.394595
1.673285-1.278395,0.394889
1.673725-1.278395,0.395330
1.674313-1.278395,0.395918
1.674754-1.278395,0.396358
1.675048-1.278395,0.396652
1.677251-1.278395,0.398856
1.678427-1.278395,0.400031
1.689738-1.278395,0.411343
1.694586-1.278395,0.416191
1.700610-1.278395,0.422214
1.707514-1.278395,0.429119
1.716770-1.278395,0.438374
1.717063-1.278395,0.438668
1.717504-1.278395,0.439109
1.717798-1.278395,0.439402
1.718385-1.278395,0.439990
1.720589-1.278395,0.442194
1.721617-1.278395,0.443222
1.722205-1.278395,0.443810
1.722646-1.278395,0.444250
1.724115-1.278395,0.445720
1.744829-1.278395,0.466434
1.751587-1.278395,0.473191
1.756729-1.278395,0.478333
1.757022-1.278395,0.478627
1.757463-1.278395,0.479068
1.757757-1.278395,0.479361
1.758051-1.278395,0.479655
1.758491-1.278395,0.480096
1.759079-1.278395,0.480684
1.759667-1.278395,0.481271
1.759961-1.278395,0.481565
1.760401-1.278395,0.482006
1.799626-1.278395,0.521230
1.800213-1.278395,0.521818
1.800654-1.278395,0.522259
1.800948-1.278395,0.522553
1.801389-1.278395,0.522993
1.801682-1.278395,0.523287
1.802123-1.278395,0.523728
1.802564-1.278395,0.524169
1.804180-1.278395,0.525785
1.804621-1.278395,0.526225
1.805208-1.278395,0.526813
1.805502-1.278395,0.527107
1.805796-1.278395,0.527401
1.806090-1.278395,0.527694
1.806530-1.278395,0.528135
1.809469-1.278395,0.531073
1.834296-1.278395,0.555901
1.838997-1.278395,0.560602
1.841641-1.278395,0.563246
1.842523-1.278395,0.564127
1.842964-1.278395,0.564568
1.843257-1.278395,0.564862
1.844139-1.278395,0.565744
1.845167-1.278395,0.566772
1.856773-1.278395,0.578378
1.885126-1.278395,0.606731
1.885420-1.278395,0.607025
1.885714-1.278395,0.607319
1.886008-1.278395,0.607612
1.887036-1.278395,0.608641
1.888946-1.278395,0.610550
1.889681-1.278395,0.611285
1.889974-1.278395,0.611579
1.890268-1.278395,0.611873
1.891003-1.278395,0.612607
1.921853-1.278395,0.643458
1.925526-1.278395,0.647131
1.927436-1.278395,0.649041
1.927877-1.278395,0.649481
1.928758-1.278395,0.650363
1.929052-1.278395,0.650657
1.938748-1.278395,0.660352
1.947269-1.278395,0.668873
1.969599-1.278395,0.691203
1.971949-1.278395,0.693554
1.972684-1.278395,0.694288
1.973859-1.278395,0.695464
1.974593-1.278395,0.696198
1.988403-1.278395,0.710007
1.988697-1.278395,0.710301
2.003828-1.278395,0.725433
2.011174-1.278395,0.732778
2.011614-1.278395,0.733219
2.012349-1.278395,0.733954
2.013230-1.278395,0.734835
2.015581-1.278395,0.737185
2.049663-1.278395,0.771268
2.056274-1.278395,0.777879
2.060388-1.278395,0.781992
2.061122-1.278395,0.782727
2.091239-1.278395,0.812843
2.095499-1.278395,0.817104
2.098584-1.278395,0.820189
2.103432-1.278395,0.825036
2.114009-1.278395,0.835614
2.136046-1.278395,0.857650
2.168806-1.278395,0.890411
2.173801-1.278395,0.895406
2.183644-1.278395,0.905248
2.208178-1.278395,0.929782
2.215964-1.278395,0.937568
2.225807-1.278395,0.947411
2.226541-1.278395,0.948146
2.277959-1.278395,0.999563
2.312923-1.278395,1.034528
2.316890-1.278395,1.038494
2.381089-1.278395,1.102693
2.416200-1.278395,1.137804
2.442496-1.278395,1.164101
2.447197-1.278395,1.168802
2.473934-1.278395,1.195539
2.494061-1.278395,1.215666
1.293380-1.285153,0.008227
1.294115-1.285153,0.008961
1.294555-1.285153,0.009402
1.295731-1.285153,0.010577
1.302341-1.285153,0.017188
1.302782-1.285153,0.017629
1.309834-1.285153,0.024681
1.311303-1.285153,0.026150
1.312037-1.285153,0.026884
1.319236-1.285153,0.034083
1.326875-1.285153,0.041722
1.328344-1.285153,0.043191
1.328638-1.285153,0.043485
1.335836-1.285153,0.050683
1.336424-1.285153,0.051271
1.338922-1.285153,0.053769
1.339362-1.285153,0.054209
1.340097-1.285153,0.054944
1.341860-1.285153,0.056707
1.349352-1.285153,0.064199
1.349793-1.285153,0.064640
1.354053-1.285153,0.068900
1.376236-1.285153,0.091083
1.377705-1.285153,0.092552
1.381672-1.285153,0.096519
1.385785-1.285153,0.100632
1.386226-1.285153,0.101073
1.386667-1.285153,0.101514
1.386961-1.285153,0.101807
1.388283-1.285153,0.103130
1.389605-1.285153,0.104452
1.400770-1.285153,0.115617
1.411200-1.285153,0.126047
1.415608-1.285153,0.130454
1.416783-1.285153,0.131630
1.421778-1.285153,0.136625
1.422659-1.285153,0.137506
1.423247-1.285153,0.138094
1.423541-1.285153,0.138388
1.442198-1.285153,0.157045
1.467907-1.285153,0.182754
1.468495-1.285153,0.183342
1.469523-1.285153,0.184370
1.476134-1.285153,0.190981
1.477897-1.285153,0.192744
1.483626-1.285153,0.198473
1.491853-1.285153,0.206700
1.493469-1.285153,0.208316
1.496848-1.285153,0.211695
1.499639-1.285153,0.214486
1.500961-1.285153,0.215808
1.504046-1.285153,0.218893
1.504487-1.285153,0.219334
1.504781-1.285153,0.219628
1.505369-1.285153,0.220215
1.510951-1.285153,0.225798
1.513449-1.285153,0.228295
1.543271-1.285153,0.258118
1.545915-1.285153,0.260762
1.547091-1.285153,0.261937
1.547972-1.285153,0.262819
1.548853-1.285153,0.263700
1.550029-1.285153,0.264876
1.550469-1.285153,0.265316
1.551645-1.285153,0.266492
1.552232-1.285153,0.267079
1.552526-1.285153,0.267373
1.553114-1.285153,0.267961
1.564866-1.285153,0.279713
1.577500-1.285153,0.292347
1.578235-1.285153,0.293082
1.588078-1.285153,0.302925
1.588959-1.285153,0.303806
1.589400-1.285153,0.304247
1.589841-1.285153,0.304688
1.590281-1.285153,0.305128
1.590575-1.285153,0.305422
1.592044-1.285153,0.306891
1.593660-1.285153,0.308507
1.599684-1.285153,0.314530
1.603209-1.285153,0.318056
1.603944-1.285153,0.318791
1.611143-1.285153,0.325989
1.613346-1.285153,0.328193
1.623630-1.285153,0.338477
1.630681-1.285153,0.345528
1.631269-1.285153,0.346116
1.631857-1.285153,0.346704
1.632885-1.285153,0.347732
1.633472-1.285153,0.348319
1.634648-1.285153,0.349495
1.636411-1.285153,0.351258
1.636851-1.285153,0.351698
1.637145-1.285153,0.351992
1.637586-1.285153,0.352433
1.638467-1.285153,0.353314
1.640818-1.285153,0.355665
1.652717-1.285153,0.367564
1.664764-1.285153,0.379611
1.667261-1.285153,0.382108
1.672550-1.285153,0.387397
1.672991-1.285153,0.387838
1.673285-1.285153,0.388132
1.673725-1.285153,0.388572
1.674313-1.285153,0.389160
1.674754-1.285153,0.389601
1.675048-1.285153,0.389895
1.677251-1.285153,0.392098
1.678427-1.285153,0.393273
1.689738-1.285153,0.404585
1.694586-1.285153,0.409433
1.700610-1.285153,0.415456
1.707514-1.285153,0.422361
1.716770-1.285153,0.431616
1.717063-1.285153,0.431910
1.717504-1.285153,0.432351
1.717798-1.285153,0.432645
1.718385-1.285153,0.433232
1.720589-1.285153,0.435436
1.721617-1.285153,0.436464
1.722205-1.285153,0.437052
1.722646-1.285153,0.437493
1.724115-1.285153,0.438962
1.744829-1.285153,0.459676
1.751587-1.285153,0.466434
1.756729-1.285153,0.471575
1.757022-1.285153,0.471869
1.757463-1.285153,0.472310
1.757757-1.285153,0.472604
1.758051-1.285153,0.472898
1.758491-1.285153,0.473338
1.759079-1.285153,0.473926
1.759667-1.285153,0.474514
1.759961-1.285153,0.474807
1.760401-1.285153,0.475248
1.799626-1.285153,0.514473
1.800213-1.285153,0.515060
1.800654-1.285153,0.515501
1.800948-1.285153,0.515795
1.801389-1.285153,0.516235
1.801682-1.285153,0.516529
1.802123-1.285153,0.516970
1.802564-1.285153,0.517411
1.804180-1.285153,0.519027
1.804621-1.285153,0.519467
1.805208-1.285153,0.520055
1.805502-1.285153,0.520349
1.805796-1.285153,0.520643
1.806090-1.285153,0.520937
1.806530-1.285153,0.521377
1.809469-1.285153,0.524315
1.834296-1.285153,0.549143
1.838997-1.285153,0.553844
1.841641-1.285153,0.556488
1.842523-1.285153,0.557370
1.842964-1.285153,0.557811
1.843257-1.285153,0.558104
1.844139-1.285153,0.558986
1.845167-1.285153,0.560014
1.856773-1.285153,0.571620
