Pair,Delta (mHz)
4.300690-3.075409,1.225281
4.376221-3.075409,1.300812
4.444122-3.075409,1.368713
4.513550-3.075409,1.438141
4.580688-3.075409,1.505280
4.646301-3.075409,1.570892
4.722595-3.075409,1.647186
4.785156-3.075409,1.709747
4.851532-3.075409,1.776123
4.921722-3.075409,1.846313
4.993439-3.075409,1.918030
5.064392-3.075409,1.988983
3.214264-3.147125,0.067139
3.284454-3.147125,0.137329
3.345489-3.147125,0.198364
3.418732-3.147125,0.271606
3.482056-3.147125,0.334930
3.553772-3.147125,0.406647
3.618622-3.147125,0.471497
3.688812-3.147125,0.541687
3.755188-3.147125,0.608063
3.825378-3.147125,0.678253
3.892517-3.147125,0.745392
3.963470-3.147125,0.816345
4.029083-3.147125,0.881958
4.100800-3.147125,0.953674
4.167175-3.147125,1.020050
4.238892-3.147125,1.091766
4.300690-3.147125,1.153564
4.376221-3.147125,1.229095
4.444122-3.147125,1.296997
4.513550-3.147125,1.366425
4.580688-3.147125,1.433563
4.646301-3.147125,1.499176
4.722595-3.147125,1.575470
4.785156-3.147125,1.638031
4.851532-3.147125,1.704407
4.921722-3.147125,1.774597
4.993439-3.147125,1.846313
5.064392-3.147125,1.917267
3.284454-3.214264,0.070190
3.345489-3.214264,0.131226
3.418732-3.214264,0.204468
3.482056-3.214264,0.267792
3.553772-3.214264,0.339508
3.618622-3.214264,0.404358
3.688812-3.214264,0.474548
3.755188-3.214264,0.540924
3.825378-3.214264,0.611114
3.892517-3.214264,0.678253
3.963470-3.214264,0.749207
4.029083-3.214264,0.814819
4.100800-3.214264,0.886536
4.167175-3.214264,0.952911
4.238892-3.214264,1.024628
4.300690-3.214264,1.086426
4.376221-3.214264,1.161957
4.444122-3.214264,1.229858
4.513550-3.214264,1.299286
4.580688-3.214264,1.366425
4.646301-3.214264,1.432037
4.722595-3.214264,1.508331
4.785156-3.214264,1.570892
4.851532-3.214264,1.637268
4.921722-3.214264,1.707458
4.993439-3.214264,1.779175
5.064392-3.214264,1.850128
3.345489-3.284454,0.061035
3.418732-3.284454,0.134277
3.482056-3.284454,0.197601
3.553772-3.284454,0.269318
3.618622-3.284454,0.334167
3.688812-3.284454,0.404358
3.755188-3.284454,0.470734
3.825378-3.284454,0.540924
3.892517-3.284454,0.608063
3.963470-3.284454,0.679016
4.029083-3.284454,0.744629
4.100800-3.284454,0.816345
